ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region
CN-0145,medium_airport,Changzing Air Base,30.96859932,119.7310028,CN,CN-33
CN-0146,medium_airport,Daishan Air Base,30.28779984,122.1449966,CN,CN-33
CN-0147,medium_airport,Feidong Air Base,31.90940094,117.6589966,CN,CN-34
CN-0149,medium_airport,Fuzhou Air Base,26.00440025,119.3119965,CN,CN-35
CN-0152,medium_airport,Huian Air Base,25.02610016,118.8069992,CN,CN-35
CN-0153,medium_airport,Jianqiao/Hangzhou Airfield,30.33530045,120.2409973,CN,CN-33
CN-0154,medium_airport,Jiaxing Air Base,30.70664024,120.6806107,CN,CN-33
CN-0158,medium_airport,Longtian/Lung-T'ien Air Base,25.57279968,119.4599991,CN,CN-35
CN-0159,medium_airport,Longyou Air Base,29.11310005,119.177002,CN,CN-33
CN-0161,medium_airport,Mahuiling Air Base,29.47719955,115.802002,CN,CN-36
CN-0162,medium_airport,Nanchang New Airfield,28.63559914,115.9300003,CN,CN-36
CN-0163,medium_airport,Nanchang Xiangtang Air Base,28.42079926,115.9240036,CN,CN-36
CN-0165,medium_airport,Ningbo Zhangqiao Air Base,29.92280006,121.5739975,CN,CN-33
CN-0169,medium_airport,Shanghai Dachang Air Base,31.32360077,121.4110031,CN,CN-31
CN-0171,closed,Shanghai Longhua Airport,31.166901,121.454002,CN,CN-31
CN-0173,closed,Shanghai Jiangwan Airfield,31.33300018,121.5,CN,CN-31
CN-0182,medium_airport,Zhangshu Air Base,28.02169991,115.5510025,CN,CN-36
CN-0185,medium_airport,Changchun Air Base,43.90530014,125.197998,CN,CN-22
CN-0187,medium_airport,Chifeng Air Base,42.15890121,118.8420029,CN,CN-15
CN-0189,medium_airport,Dandong Airport,40.0247,124.286003,CN,CN-21
CN-0190,medium_airport,Dingxin/Shuangchengzi Air Base,40.40140152,99.78939819,CN,CN-62
CN-0191,medium_airport,Fuxin Air Base,42.07889938,121.6620026,CN,CN-21
CN-0192,medium_airport,Gongzhuling Air Base,43.52420044,124.7860031,CN,CN-22
CN-0193,medium_airport,Harbin Air Base,45.59749985,126.6589966,CN,CN-23
CN-0197,medium_airport,Kaiyuan Air Base,42.5257988,123.9820023,CN,CN-21
CN-0198,medium_airport,Lalin Air Base,45.25939941,126.8949966,CN,CN-23
CN-0201,medium_airport,Pingquan Air Base,40.9007988,118.6809998,CN,CN-13
CN-0204,medium_airport,Shenyang Beiling Air Base,41.87080002,123.439003,CN,CN-21
CN-0206,medium_airport,Shenyang Yu Hung Tun Air Base,41.82249832,123.2990036,CN,CN-21
CN-0208,medium_airport,Siping Air Base,43.1568985,124.2919998,CN,CN-22
CN-0209,medium_airport,Suizhong Air Base,40.2989006,120.3590012,CN,CN-21
CN-0210,medium_airport,Tuchengzi Air Base,38.91220093,121.2389984,CN,CN-21
CN-0212,closed,Yingchenzi/Xinzhaizi-Dalian Air Base,39.010601,121.389999,CN,CN-21
CN-JNZ,medium_airport,Sanshilipu Air Base,39.28950119,121.7610016,CN,CN-21
DBC,medium_airport,Baicheng Chang'an Airport,45.505278,123.019722,CN,CN-22
GMQ,medium_airport,Golog Maqin Airport,34.418066,100.301144,CN,CN-63
HIA,medium_airport,Lianshui Airport,33.79083333,119.125,CN,CN-32
JGD,medium_airport,Jiagedaqi Airport,50.371389,124.1175,CN,CN-23
JIQ,medium_airport,Qianjiang Wulingshan Airport,29.51333333,108.8311111,CN,CN-50
NBS,medium_airport,Changbaishan Airport,42.066944,127.602222,CN,CN-22
NLH,medium_airport,Ninglang Luguhu Airport,27.5403,100.7593,CN,CN-53
SQD,medium_airport,Shangrao Sanqingshan Airport,28.3797,117.9643,CN,CN-36
SQJ,medium_airport,Shaxian Airport,26.4263,117.8336,CN,CN-35
YNT,large_airport,Yantai Penglai International Airport,37.657222,120.987222,CN,CN-37
